,loss,mean_square_error,mean_absolute_error
0,0.1107192188501358,0.1107192188501358,0.20981010794639587
1,0.09960225969552994,0.09960225969552994,0.20764435827732086
2,0.11238793283700943,0.11238793283700943,0.20467428863048553
3,0.09234408289194107,0.09234408289194107,0.19652453064918518
4,0.1071409285068512,0.1071409285068512,0.21043552458286285
5,0.09044527262449265,0.09044527262449265,0.20040173828601837
6,0.07436548918485641,0.07436548918485641,0.20815500617027283
7,0.1220443919301033,0.1220443919301033,0.21262258291244507
8,0.1316688060760498,0.1316688060760498,0.21267415583133698
9,0.0962299332022667,0.0962299332022667,0.19851014018058777
10,0.10139580070972443,0.10139580070972443,0.19902080297470093
11,0.10034647583961487,0.10034647583961487,0.20359791815280914
12,0.09668698161840439,0.09668698161840439,0.2032499462366104
13,0.1131436750292778,0.1131436750292778,0.20023879408836365
14,0.24563737213611603,0.24563737213611603,0.33877459168434143
15,0.09274013340473175,0.09274013340473175,0.19876638054847717
16,0.10646713525056839,0.10646713525056839,0.19816812872886658
17,0.09562920778989792,0.09562920778989792,0.19867539405822754
18,0.11553025245666504,0.11553025245666504,0.20618093013763428
19,0.09284090250730515,0.09284090250730515,0.19971373677253723
20,0.5858967304229736,0.5858967304229736,0.21892352402210236
21,0.11151224374771118,0.11151224374771118,0.20521865785121918
22,0.09085036814212799,0.09085036814212799,0.19228579103946686
23,0.09268494695425034,0.09268494695425034,0.19837427139282227
24,0.09671924263238907,0.09671924263238907,0.20306546986103058
25,0.09859522432088852,0.09859522432088852,0.1984618753194809
26,0.08877649903297424,0.08877649903297424,0.19718307256698608
27,0.09189680963754654,0.09189680963754654,0.19520524144172668
28,0.09740802645683289,0.09740802645683289,0.19898934662342072
29,0.24563737213611603,0.24563737213611603,0.33877459168434143
Mean,0.12657812386751174,0.12657812386751174,0.21181069662173588
Standard Deviation,0.09176171227661642,0.09176171227661642,0.033877857343380724
